,Location,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Unnamed: 65
0,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,6472.398708874771,7885.15892730063,9765.90920740626,11392.269149986101,12306.717679149298,13495.79430054,14045.474565614599,14938.6815734932,16239.9878515928,16439.3563609282,16583.8758560136,17927.9594391833,19077.6874273513,19355.3335357274,20617.750467352802,20670.3670051627,20436.8871286309,20833.976357295,22568.3749910043,23300.7383630907,24046.2263769373,25834.1117784233,27083.634859691403,24631.1820522439,23513.527696809,24985.0139185797,24712.493262890697,26441.6199357378,26893.0115056581,28396.9084228616,28452.1706146796,29350.805018913703,30253.279358019503,,,
1,Africa Eastern and Southern,147.612227356658,147.014903980571,156.18919171868902,182.24391703377202,162.347592147618,180.214907841495,190.845483562135,192.337166562156,204.007099368282,227.908615119165,236.793424648275,254.00696906746398,268.131326739248,339.759795964428,410.118239816733,424.803180517585,411.51361925849295,456.25418517456103,496.09059081987505,564.002951169701,688.555399290773,685.205277946091,641.783869594962,643.803760127544,571.4471212391011,495.6646289697401,542.428123553241,643.801620251485,657.347249119682,657.186356415773,696.98814539625,704.427088459081,683.336134465999,706.488038736633,702.415965784792,771.410097098471,747.841550124969,765.9674853540539,703.0913562490911,675.804263446166,713.2459210547689,633.608788994641,631.870339558401,819.743981457504,993.762711096436,1129.80871033245,1237.11180175654,1382.8690387472302,1442.16815788071,1412.1112843958301,1634.4482530986402,1770.73623014017,1736.16655986305,1713.8992986618398,1703.59629838885,1549.03794037642,1431.7787234042,1573.06338581001,1574.9786477531698,1530.05917655094,1359.61822418526,
2,Afghanistan,59.7732337032148,59.8608999923829,58.4580086983139,78.7064287776753,82.0953065340517,101.108325163758,137.594297961115,160.898434161304,129.108310965006,129.32976036419902,156.518771348706,159.567508996258,135.317227981591,143.14464950008102,173.65362474202598,186.510838346447,197.44550755114497,224.225001566116,247.354087806417,275.738115377232,272.655510200686,264.111197144336,,,,,,,,,,,,,,,,,,,,,179.426579211394,190.683814295088,211.38207419893902,242.031313175022,263.733601866274,359.693157866109,364.66354204230004,437.26874023514,543.306526178281,591.190030208565,638.845851607289,624.315454506615,614.223342360392,556.007220861443,512.012778129357,516.679862210543,485.66841872980797,494.179349886029,516.747870807558,
3,Africa Western and Central,107.932233293366,113.08164661292601,118.831106706209,123.442887950613,131.854401909578,138.526332388544,144.326212453632,128.58247019978901,129.641106185266,143.715631573582,195.433564888654,169.119100472264,200.168407134048,241.711430329646,333.19249339761905,377.788046952202,444.374421151956,454.79016643381897,482.477486200178,584.373990532901,718.691848126908,1316.93170404015,1136.46243630013,815.900740280563,656.712783360308,651.5100941025161,584.907219262827,584.119205546599,561.36145852303,510.419105485422,594.72600919977,558.4356809153929,547.663092908291,445.65620621103403,378.94049293592695,462.864808608456,523.763526573847,515.234581172978,513.6425507009901,528.5773936524259,525.450342923443,539.335724366342,627.773944464993,706.9550630408689,854.506836384316,1016.4759779720199,1252.59514686795,1430.79640012068,1707.2722635930302,1486.57265423522,1687.5519789005,1862.3082670503898,1965.1184848087303,2157.48114862974,2212.8531346630703,1894.3101949535999,1673.83552685464,1613.4735530342903,1704.1396025898998,1777.9186715263397,1710.0733633562697,
4,Angola,,,,,,,,,,,,,,,,,,,,,711.40957856021,642.768196831557,620.333123364606,623.8153623515809,638.099006801712,758.7450631521581,685.728127726666,756.767926189975,792.833017228347,891.149280264381,948.338177965671,,,,251.07834836730203,398.79099821209,522.679624255226,514.3851744257589,423.619048972815,387.785124062555,556.838631674927,527.333528536691,872.4944417912731,982.96100777685,1255.5645132554598,1902.4221497593699,2599.56594793067,3121.99608528081,4080.9410337241707,3122.7815987074,3587.8836446283703,4615.46821863819,5100.09702685927,5254.88112606683,5408.411700020821,4166.979833302779,3506.0731281883195,4095.8100568707,3289.64399476678,2809.6260883912896,1776.1668678953101,
5,Albania,,,,,,,,,,,,,,,,,,,,,,,,,639.484735848211,639.865909445734,693.873474633887,674.793383069492,652.774321396566,697.995596576519,617.230435515505,336.586994504629,200.852219772323,367.27922507758103,586.416339644261,750.604449178826,1009.97727483821,717.3800477456731,813.7893965804491,1033.2425316241802,1126.68334010717,1281.6598256178,1425.12421860142,1846.12012081207,2373.58129170055,2673.78658429559,2972.74292399799,3595.0380568289293,4370.5399247769,4114.13489916342,4094.3483857449396,4437.142612226839,4247.63004748194,4413.06200528903,4578.6332081215505,3952.8025380752706,4124.05538986272,4531.019373768901,5287.66369446913,5395.65953185375,5246.292306347929,
6,Andorra,,,,,,,,,,,3238.6902609720396,3496.5320229667,4218.27159918486,5342.168560442079,6320.80963168572,7169.101005595559,7151.249909405991,7751.843307413571,9127.81227979624,11818.4733427033,12378.7845111338,10372.786050001,9610.02061570912,8025.207640540359,7728.90669456943,7775.6142169163595,10361.1477651737,12615.126176914298,14304.640595474199,15165.2812551732,18878.8523130643,19534.2636301538,20549.8055751695,16515.6583953924,16235.068037723899,18458.1739929996,19016.2881877293,18355.627860432098,18895.110661321,19262.3089910407,21854.2468030614,22970.5122133619,25067.2400639132,32272.8458909877,37966.1872524395,40064.2249292197,42674.7589681092,47804.849934021106,48719.6587699036,43504.2156523202,40850.2481432297,43334.8114127088,38686.4612635075,39540.7248137461,41303.9293714464,35770.7767044085,37475.635058752596,38964.904478265,41791.9698372411,40897.3308728669,,
7,Arab World,,,,,,,,,304.744134556008,322.840971021131,354.990993522411,398.972875588492,462.644301552063,571.079791870233,1052.50414711325,1129.76416267025,1363.3256575378698,1524.6140001342999,1619.541378412,2130.8818192773897,2792.08723560397,2798.6156424500396,2547.47353948494,2322.66693121469,2289.36965926551,2217.23049461166,2097.20663158055,2216.35965416765,2043.2604259928896,2096.3014032513,2796.69997677968,1918.3463280372303,2033.96393227758,2017.9385749380701,2068.7784407055,2196.97888476788,2371.4526014183703,2501.0507581225897,2381.9948794472,2579.12206410332,2890.22767363068,2768.5021026583004,2725.6097519303103,2948.6326231101,3430.9829097181896,4120.84215652095,4754.768854051429,5418.13476273827,6661.48406818295,5695.887675518101,6512.54155819275,6888.97941571698,7378.23188980297,7373.20167842865,7300.03021943052,6220.716636002309,5969.616592667629,5987.3419570748,6504.14849275027,6489.04321596317,5612.68656952782,
8,United Arab Emirates,,,,,,,,,,,,,,,,26848.088176073798,30117.948933030802,33823.1816606368,28457.078034209902,33512.6334236559,42764.5405564139,44987.53799018519,40025.8226237317,34843.1596263749,32309.8327132028,29720.8977184634,23467.8793176905,23726.3070493825,22295.1187062952,24028.2624976646,27729.3905933305,26612.253110068,26420.859883407902,25596.7393895625,25848.016250094,27221.9344117425,28975.079957271202,29512.6747918254,26899.601766231,28470.885858149,33291.3662541838,31280.7558649555,31567.5463066439,33499.1027760786,36333.1873330517,39365.4596409245,41907.4214695701,41809.4621626311,44498.9405069137,32024.197782324503,33893.2638727391,39194.672239975,40976.4907464015,42412.6395002704,43751.8056478669,38663.4005026605,38141.8671313451,40644.7911901772,43839.3244866903,42701.4430454782,36284.5552429552,
9,Argentina,,,1155.8907166925699,850.304578624232,1173.23810525517,1279.11377848123,1272.80320401009,1062.54341227446,1141.08043154103,1329.058546189,1322.59063753874,1372.37417356256,1408.86537993108,2097.02283010295,2844.86331235351,2027.3372022265899,1948.22468587272,2129.70836077888,2146.3649589926504,2520.9207160651604,2758.83481652658,2776.3220882513897,2927.89735685135,3553.3775087968397,2659.7082424700698,2926.12648531698,3613.62170927636,3562.87605875248,3985.1924687496203,2383.86747065533,4333.4833716802505,5735.3599805848,6823.538837104239,6969.11972904571,7483.140334257209,7408.7086636311205,7721.35410460355,8213.12512693705,8289.5075682025,7774.73620280001,7708.099114540409,7208.373113553721,2593.404563368,3349.8063003103603,4277.72157290954,5109.852244904029,5919.01233837714,7245.446856671971,9020.873323142741,8225.13758261645,10385.964431955501,12848.8641969705,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2424732447,14613.041824658001,11795.1593866287,10056.637940265,8579.01777315683,
10,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.85592120941,590.505875579775,369.707232276548,357.202848575393,400.515593762192,456.37493327627294,504.059842642233,523.284410700367,609.17165368466,597.432898792278,622.740922945281,694.4234553732291,783.2412149600909,930.125472654125,1191.92100563238,1643.75688889146,2158.1480742298,3139.28071035448,4010.8613808483296,2994.3404709081606,3218.37829927419,3525.80719813557,3681.84469060495,3838.17387997786,3986.2316237671293,3607.28929855361,3591.8280522163896,3914.5278543669606,4220.5403207914505,4604.64632355695,4266.018074209461,
11,American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8666.65538195914,8807.46281200101,8528.248776891629,8395.318770253709,8340.523439746908,8874.877927596071,9740.824491215859,11910.013233348,10216.8176306968,10223.2983588916,11496.5240977923,11450.724195487901,11525.156387230902,12059.6351646776,12038.2496994923,11003.829764280701,11521.609779845301,11715.3601388487,12844.9009909959,
12,Antigua and Barbuda,,,,,,,,,,,,,,,,,,1246.69015964261,1416.54053131116,1760.8313244800302,2124.6185264814103,2392.6869579446898,2660.5580914355605,2948.31727549755,3372.60207005529,3899.3918396830104,4703.1794011843895,5463.59538268844,6454.835450917739,7076.53633490604,7347.64636864328,7602.345334144649,7745.72179961652,8136.188547274491,8771.14372746878,8406.35894515205,9030.5749776224,9491.66076559497,9940.85222769034,10260.5994054155,10872.2929515751,10367.3196068161,10401.0508759034,10797.9510571837,11446.9691417182,12557.547850076899,13995.8044243845,15622.692871023799,16044.1057963132,14160.5620007335,13048.9605816199,12746.633468202099,13272.7349447294,12910.5906255945,13501.5809223367,14285.3297773091,15198.7429664112,15383.5763979856,16679.5916624545,17376.6496765004,13992.744480449699,
