,Location,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Unnamed: 65
0,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5932813696001,20.1368079502085,12.2014913549699,2.08965490393935,3.83467885106359,0.270153782497744,1.00940648426682,2.2650666251726803,-2.07312044322259,-2.3248458845636697,4.24198280379031,-0.14648039534854698,-0.7285070611773821,5.417261666152361,-5.08748022989613,-5.411987981913461,-0.151921482305937,6.023132961998019,-0.0848791128969566,0.24685281966834802,1.4019795774321597,-0.22475891060771902,-10.5991281698803,-3.8868204533867203,3.0557879098449803,-1.86510525567148,3.59222312055758,-0.29053442028985904,5.129657087922769,1.58786875286513,1.51982143378811,,,,
1,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,1.01235649051486,-2.5613623036052404,-2.70518628893237,0.351860938773015,-3.07343163266958,-0.76218256922887,0.9083165104955809,1.1673258625798402,-0.299011566781232,-2.7812144601968503,-2.88370631428747,-5.03267951588883,-3.7753308359605198,-0.680730730989836,1.6547051690739798,2.82075570804703,0.762305599310523,-0.8105119789650391,-0.0088626230533037,0.569977804994565,0.8886399367011679,1.33797219331504,0.271500832432196,2.9331643129777905,3.5998171539507995,3.8983072985783,4.044777879768009,1.8034617966153201,-1.74017990278948,2.3406204708074503,1.22382779400891,-0.7695092786506021,1.50530530791859,1.20325972664031,0.187859711602755,-0.6745325562744139,-0.144709797664106,-0.185405595367016,-0.544414098800544,-5.403820445227111,
2,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8683802951586603,-2.87520316702623,7.20796721836321,2.25331064367975,11.022787165592199,1.59421545820915,18.5154192936617,11.264090568989001,-2.68106105621827,8.97486534263294,1.9741656904729,-0.665291050796171,-1.62285718631547,-0.541416195952564,0.0647641950115201,-1.19490038335884,1.53563667424,-4.57503186436271,
3,Africa Western and Central,,-0.232405050758828,1.60229912712373,4.9906747798276605,3.12467951240916,1.78394727004083,-3.9464312797082504,-11.557320563161399,-0.8195284820593121,12.8495371424171,15.1636476990222,8.18515220961724,0.666409426290883,1.66296872100176,7.496019163415671,-4.660260814392981,5.75218730282532,1.95334030510341,-4.815704662789679,2.39103962638474,-0.7648115561070201,-9.45444593641491,-5.9714909720885005,-9.06832971563641,-2.16420881658527,2.6980228066556298,-1.32170033705911,-1.28185888286497,2.03422087578231,-0.45300472355627597,3.7422405231301097,-1.53681071181977,0.0102634700695319,-3.7360079800202204,-2.8994408576714905,-0.738983912321373,1.8809862386107299,1.48756529990692,0.7733803327703009,-1.25630081131052,1.00002701856982,2.44493493330229,7.0107412391469905,2.73826949690081,5.14978041100807,3.0187039512278098,2.53362178777148,2.66786581660811,3.3863567024557595,3.3832891759082,4.056565923216549,2.0171992742538403,2.31517489112325,3.26088598310315,3.09678416221888,0.0074023590114222,-2.53356229121614,-0.390664943817995,0.241530875100992,0.49295312038934497,-3.4539756558316403,
4,Angola,,,,,,,,,,,,,,,,,,,,,,-7.710277853962411,-3.4903832481977304,0.548516268830483,2.28850779793871,-0.107614902760872,-0.670777628829072,0.488466542816624,2.4966296357011,-3.33595391564026,-6.65746725814343,-2.31086799729711,-8.87693119524158,-26.4117713544843,-1.87789751012431,11.3595386650654,9.95278659158234,3.87785809963763,1.36474401726814,-1.08529845116867,-0.267956297993877,0.8221383015632141,9.94375774324121,-0.43183389028259,7.187063696080219,11.0307829426052,7.582318725665769,9.890049089674509,7.11684790462024,-2.80859959622148,0.640263325028357,-0.220842987712189,4.7065188600379,1.29199384519865,1.2198806209573998,-2.46873730689103,-5.816187549099849,-3.40998337557743,-5.1621117906624105,-3.7956079652012003,-8.39624119385249,
5,Albania,,,,,,,,,,,,,,,,,,,,,,3.64864854696165,0.795840071464511,-1.0168021724062601,-3.3074972029465495,-0.290595347809159,3.6146555438020296,-2.7494963795735097,-3.2625223336426097,6.9236172837284995,-11.187905298521303,-27.5668208371351,-6.62255121373244,10.2299493626077,8.96976165264687,14.0244959282551,9.78017988648602,-10.3611049779492,9.51648444633986,13.6080691249014,7.63002243231912,9.314397144529519,4.85047533129186,5.92421154162319,5.956569595217499,6.06788243348224,6.5729229844884,6.78722894058974,8.32810842081639,4.05313986616314,4.22308382503236,2.82164245514005,1.58487281498216,1.18723435252161,1.98538809417568,2.5168270506362203,3.48029321692431,3.8977406057952595,4.2763256546607,2.5493585794876297,-3.39870846788662,
6,Andorra,,,,,,,,,,,,-0.6544221331243281,2.86394237482419,2.64568364802535,1.02760195313911,-3.35439830586516,-0.196879323040051,-0.258915174652742,-1.46867434615082,-3.06382466640494,-1.29997673761582,-3.95427564956256,-2.93903109213265,-2.5618500522147403,-2.6293356863438597,-2.0084067213885097,-1.02374509759223,1.32384331854595,0.980825124074443,0.7919968357951601,-0.133166840624284,-1.35923551979974,-2.86921567205975,-4.42706504168856,-0.397087331634665,0.852320249183208,3.83189583005073,9.14398109777854,3.4811774468982204,3.7303461664635096,1.91028641179476,4.98225233757914,0.5106529367835011,4.0422462682030895,3.78188582874981,1.89527131463494,2.06020231362646,-0.518849647046451,-6.88581740186976,-5.9766840451389,-1.9668331589827701,0.8348674242417081,-3.45153545003302,-1.5688713381525001,4.51927941301172,3.02081678005885,4.646211549222071,0.734439351000333,1.57425431733354,1.83306059347608,-12.0882996669955,
7,Arab World,,,,,,,,,,,,,,,,,12.1975504611659,4.72112924715108,-3.6970586922849304,7.685449570878769,5.68675608466083,0.120149235108642,-11.3068739186247,-9.17582959709156,-1.59664085242159,-4.83559695080648,1.48350037951148,-3.12006575048567,2.9660460444850294,-0.7217800060252979,8.3862701217069,-0.382410209468503,3.2560403046551603,0.431192830060724,0.7102783230270829,-0.125966876770633,2.31129600045026,2.0298996330647,2.91232668255235,-0.33339677448741195,4.35292763916925,-0.46147699034780504,-1.52298207036721,2.47101218876222,6.61456290532824,3.03774181111449,3.6030331473648705,2.04373627257685,3.2405201611855,-1.7474322418061798,2.33769724443806,1.44376388737871,2.70009562631867,0.7254412185379949,0.38902789479445204,0.8881578317860171,1.15295877026209,-1.00635785647198,0.468786241052925,0.137964422114464,-7.06518187900672,
8,United Arab Emirates,,,,,,,,,,,,,,,,,0.15439531852496202,5.350679527018309,-13.386040460288598,8.43164646676371,13.2121400563276,-2.6987336942244,-12.1820232275995,-9.68052433618057,-1.2493706051328,-8.68902715204911,-19.6748189208723,-2.4925231158999703,-8.21745806286394,5.9187171246771,11.6777689161566,-4.80063554272371,-2.48118749373106,-4.34175105789512,1.24742436850995,1.3549477188151398,0.630737901066453,2.8346648720078798,-4.76511125165072,-2.3994883205427002,4.909159703027901,-3.77890533210494,-2.75030295382335,1.96632118700073,-0.0380101659582976,-7.020363050642389,-4.9166693070077,-11.345652714369303,-10.2086460930316,-15.151224681797302,-5.91493077766168,2.18634402990557,2.2570989759585096,4.40993826131566,4.22567716724525,4.50781768694726,1.90520573929507,1.01143077389321,-0.320590314360061,1.9344314825916102,-7.2721729746159,
9,Argentina,,3.72877851709588,-2.4258431529676203,-6.7882395936391795,8.43724398819489,8.896809279412539,-2.13647776603487,1.6784347031244902,3.2869376797064302,8.05027928080592,1.4794944086058601,4.0074653218119805,0.0058359506333687,1.15692075574981,3.85175778367291,-1.58782938560111,-3.50639094469648,5.34299004669241,-5.91640145293687,8.57769017081557,-0.0296099981834743,-6.668497819566849,-2.3077661380714,2.6819818357000296,-0.0518465917889301,-6.692590673803691,4.48432686155165,1.10606452417427,-2.60323622749577,-8.54086201224274,-3.87408535421757,7.61432641480513,6.48763181805525,6.802926901502429,4.50545680141448,-4.03215881088221,4.27458646483123,6.86473336181048,2.68100281607806,-4.4551784591153,-1.87493636731784,-5.447048172616871,-11.8547817184023,7.6765340475281905,7.88493750549884,7.729488996404981,6.95553357619964,7.924210888418799,3.0295006519185095,-6.85422505520184,9.30012292248985,4.78868313859435,-2.14528444981812,1.2656851753707599,-3.57858050983289,1.62966427946263,-3.11006389821465,1.75764818265694,-3.6016097565715497,-2.99438788864292,-10.7651077297352,
