,Location,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Unnamed: 65
0,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23293.0374116156,25004.1719146977,25643.0836842704,26515.8902581958,27695.544855379103,27690.0913270057,27541.5491614996,29223.2368822152,29508.8622671102,29716.834311206603,32026.9727415196,31064.3556476532,29847.928352091803,30356.045274593398,33050.9033772923,34051.4928047902,35168.561469577595,36619.588029091,37247.9805023973,33553.8820015977,32625.492690874704,34324.7993588886,33567.5500169846,36829.0327743518,36779.429429343,37311.7503195981,37585.0250792115,38897.122666275,,,,
1,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1855.7466399852601,1867.26153205439,1823.19983737466,1813.3439919902103,1837.03077507219,1907.7555080949398,1996.38855254642,2052.78460762378,2060.43750472849,2094.51636207737,2159.39962534988,2229.73918805131,2293.7609935197697,2350.92077580095,2484.6883149815303,2651.03845111364,2837.03348424991,3027.82102501785,3142.99611733141,3109.6051243092998,3217.66015856683,3323.2720140733195,3237.87065825646,3365.68297673587,3503.6993827276096,3533.23081924489,3627.2943479608202,3702.39068536008,3791.87540747988,3842.57851067034,3684.56262313758,
2,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877.01426830392,927.857548047018,925.441429176842,1023.05174932878,1077.76153966077,1228.70386342946,1272.57297477768,1519.6929227843802,1710.57541109225,1699.4881101974202,1914.77422837964,2015.51477466948,2069.42402167356,2087.30532306683,1981.11806850696,2058.4002210698,2082.63564821362,2152.3664894209,2078.6486145090603,
3,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730.7115203988,1763.3545951797898,1801.29161656193,1776.37352134758,1763.9069722774,1790.67112685718,1858.6930200843499,1921.6903994665802,1960.0615416722699,1965.6901171910602,2027.3993697412802,2123.11956183358,2298.88600746148,2405.56387496919,2596.2340970043697,2757.7921014840504,2912.19546241924,3066.9339851686605,3230.71908428466,3359.3626552176197,3532.1429859982,3675.39244102586,3772.3238020175895,4013.19652314325,4208.731779862879,4139.32336449764,4069.00566669605,4115.64548016502,4231.8157735629,4335.19954736606,4242.11448887284,
4,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3279.22212168333,3311.77645207868,3086.56511625428,2325.1872702694895,2330.24281167317,2649.36112085334,2966.3833223990005,3136.5162862698303,3215.1056188900898,3226.1281422107,3289.4095494681897,3389.19696691951,3785.1503220062,3838.7950524777,4225.4679269176,4837.709826760461,5362.01984289893,6050.61055453052,6607.291634267521,6470.67524420331,6587.986938982571,6710.75062298751,7412.967034643109,7682.47538648506,8179.29782812609,7337.56982204938,7103.226430610909,7310.89658895511,7099.97195809928,6952.4193623685105,6445.43287270595,
5,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2548.11243689941,1908.0953043266602,1822.3347608648498,2056.37308669894,2288.6759563705,2664.37301811108,2978.50845068672,2717.6443480695,3021.04157736341,3471.66150890924,3860.8046270584496,4299.54649293767,4661.40269532788,5000.04936305629,5427.73266241123,5865.3019037984395,6566.572827946539,7283.34263812006,8228.34804111345,8813.029460802929,9628.72196177826,10207.7675731705,10526.2591833762,10570.963733047,11259.2675137673,11658.905517111201,12078.8431361843,12770.9642910053,13483.011613718501,14012.9764354305,13439.665278075701,
6,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6741.887423875711,7299.4741934079,7697.248774563571,7893.3883651081205,8083.36736281432,8218.49298193024,8550.96385241785,8872.232218369649,9268.00125599662,9389.972299165509,10028.8744051504,10196.6468756086,10170.8729320865,10555.9565743035,11579.954784733502,12300.7789619455,13091.0554262895,13694.7742387554,14409.475017276201,14253.9396935192,14749.552184992099,15211.026600843401,16130.5992496832,16083.809399829399,15777.097222120301,14167.9871457032,13701.1555971969,14214.6130165904,14652.088897273,14945.9353142189,14134.180257558999,
8,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87172.0997343654,85793.717027168,85571.6646950159,83796.6296610541,86653.6639098623,89669.4370194534,91887.19029454119,96181.5560804029,92629.35658107279,91712.0214854007,98365.1573861082,96724.0651137829,95551.72763796279,99239.9601570956,101872.97358835801,97671.62930207199,95679.85753420868,87102.97188999,79732.24349895019,68167.5758770941,64882.850341184196,67686.38537987981,69102.4761704654,70374.2353627555,73619.04465570679,64901.880051235195,63968.888039171106,67183.6053111678,68576.11552268651,71150.5421414274,66771.49975352941,
9,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7191.105090330229,8000.36230985365,8713.545764074059,9526.91334664213,10168.750177921,9963.36090231541,10579.4772698476,11507.895414661101,11949.4186592024,11581.8905140722,11618.7932334926,11226.8797464943,10052.4882560869,11025.1860988296,12214.7407113551,13568.769206128401,14951.728950807601,16570.007833698302,17404.069142033302,16334.7408131075,18061.9343589164,19322.2271236942,19641.352863834698,20131.6804246983,19683.7715056442,20105.198991816498,20307.870052142,23597.117752839,23293.3986337639,22999.2750525577,20770.726419641498,
10,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2772.17484814406,2554.3731653652,1548.0962427595498,1479.58547894875,1631.32152798393,1817.14826334888,1989.33572769927,2115.6170437448604,2313.61779300261,2439.9127532236803,2658.3443217304102,2995.90884550107,3463.98606346213,4043.6550616172703,4614.86980387949,5455.43499457867,6411.81964016089,7551.6436356330505,8300.49198824733,7233.039928102329,7506.321908559141,8025.4584849173,9364.37529918435,9835.80246091985,10036.8898405952,9969.664853978229,10704.2297624759,12115.139290263702,13020.3963185992,14231.1801885329,13312.1138600539,
11,American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
